,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
1,ZN,0.0002916034335800383,11.561904504492452,-0.014453775315554817,0.025935008856799897,0.017091932746294267,0.032049355328860586,0.0,0.0
12,CHAS=0.0,0.00037007650888042223,,,,,,,
13,CHAS=1.0,0.0005970352611478928,,,,,,,
2,INDUS,0.0022554188137894546,3.443039676613363,0.20449434633741537,0.04635944900412123,0.23416000936666767,0.19640738170693803,0.0,0.0
7,RAD,0.0036942838587912447,4.289541828805091,-0.6671337154996396,0.13142865842733586,0.6896449758531384,0.1839425215995794,0.40844501735611694,0.08962464321432151
8,TAX,0.00810643216510022,82.98343425017102,0.858790261304956,-0.31931306054318315,0.874816281415825,0.35794447769339344,0.07402692167586977,0.09804744795766496
10,B,0.017026994924477203,45.72656881574895,-0.7075221082103278,0.09996693254303218,0.8554429298266101,0.35992235856719557,0.6079266232467813,0.12892694704831698
3,NOX,0.022722603316845145,0.05877935520360989,0.06879855167311046,-0.11889858147823933,0.5253661373619039,0.4652217120681702,0.3268518558472575,0.2822592887590307
5,AGE,0.02371563255029453,13.980126746690955,0.19735111784022116,-0.07381406233416582,0.6747158842708799,0.5455033446311498,0.4581209458996245,0.36951936415391273
0,CRIM,0.027621581744187065,4.432033718258579,-0.6849288035379176,0.014078629167668099,1.00152113133391,0.7658051227370226,1.0085153186561229,0.4716642678819607
9,PTRATIO,0.03638469493970776,1.1129704632793018,0.704000822651398,-0.20385406023169717,0.8068959791800037,0.6603632253760733,0.4739268023774379,0.5444289688774768
6,DIS,0.08109123233501297,1.0642935686250505,4.412007797684904,-0.020597350387802794,4.664224987172864,0.9868349785371258,1.0071331160207322,0.5182157203501312
11,LSTAT,0.3438399514343603,3.5507877966079993,1.6514660250953306,-1.479285279650657,1.708356027364949,1.5587758753770797,1.3498329234162387,1.1522364499287168
4,RM,0.43228245871382587,0.3542865889835718,-1.2904695995379551,1.718568058200654,1.3793545256362512,1.8169051377174488,0.7380996598343454,0.8506003540580078
